K코드,업체명,제품명,효능,사용법,주의사항경고,주의사항,상호작용,부작용,보관법
K-024603,제일헬스사이언스(주),덱시부펜연질캡슐 300mg/PTP,"이 약은 만성 다발성 관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증, 염증, 통증 및 발열을 수반하는 감염증의 치료보조에 사용합니다.
","성인은 1회 1캡슐(300 mg)씩, 1일 2~4회 복용합니다. 단, 1일 4캡슐(1,200 mg)을 초과하지 않습니다.
","매일 세 잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 위장출혈을 일으킬 수 있습니다.

이 약 복용 시 치명적일 수 있는 중대한 심혈관계 혈전 반응, 심근경색증 및 뇌졸중의 위험이 증가하며, 위장관 출혈, 궤양 및 천공 등 심각한 위장관계 이상반응이 나타날 수 있습니다.
","이 약에 과민증 환자, 위장관궤양 또는 경험자, 위장관이나 뇌혈관 또는 다른 부위의 출혈, 심한 혈액이상, 심한 간장애, 심한 신장장애, 심한 심장기능부전, 심한 고혈압, 기관지 천식 또는 경험자, 아스피린이나 다른 비스테로이드성 소염진통제에 천식, 두드러기 또는 알레르기 반응 경험자, 관상동맥(심장동맥) 우회로술(CABG) 전후 통증치료 환자, 임신 6개월 이상의 임부, 수유부, 크론병 또는 궤양성대장염과 같은 염증성장질환 환자, 이전의 비스테로이드성 소염진통제 치료로 인해 위장관 출혈 또는 천공 경험자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 혈액이상 또는 경험자, 출혈경향이 있는 환자, 간장애 또는 경험자, 신장애 또는 경험자, 체액저류(체액고임) 또는 심부전 환자, 고혈압, 과민증 경험자, 전신성 홍반성 루푸스(SLE) 및 혼합결합조직질환(MCTD), 고령자, 6세 이상의 어린이, 위암, 알코올중독 환자, 임신 초·중기의 임부 및 임신하고 있을 가능성이 있는 여성, 허혈심장병, 말초동맥질환, 뇌혈관질환, 심혈관 질환의 위험인자가 있는 환자(예, 고혈압, 고지혈증, 당뇨병, 흡연), 간성 포르피린증, 혈액부족을 초래한 중대한 외과수술, 혈액응고장애가 있거나 항응고제를 투여받고 있는 환자는 의사 또는 약사와 상의하십시오.

약물투여의 중요성을 고려하여 수유를 중단하거나 약물투여를 중단하십시오.

이 약 복용 후 어지러움 또는 피로가 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.

급성질환에 장기 복용할 경우에는 원칙적으로 5일 이내로 합니다.
","아스피린, 다른 비스테로이드성 소염진통제, 항암요법으로 사용하는 고용량(15 mg/주 이상)의 메토트렉세이트와 함께 복용하지 마십시오.

이 약을 복용하기 전에 코르티코스테로이드, 알코올, 디곡신, 페니토인, 프로베네시드, 설핀피라존, 설포닐우레아제, ACE 억제제, 안지오텐신Ⅱ 수용체 길항제, 이뇨제, 리튬, 쿠마린계 항응고제(와르파린 등), 바클로펜, 면역억제제(시클로스포린, 타크로리무스, 시롤리무스), 혈전용해제, 티클로피딘, 항혈전제, 혈중 칼륨농도를 증가시키는 약물(트리메토프림, 헤파린 등), CYP2C8, CYP2C9의 유도제(예, 리팜피신, 페노바르비탈), 저용량(15 mg/주 미만)의 메토트렉세이트, 항혈소판제 및 선택적 세로토닌 재흡수 억제제, 심근경색이나 뇌졸중 예방목적으로 저용량 아스피린을 복용하는 사람은 의사 또는 약사와 상의하십시오.
","드물게 쇽(흉부불쾌감, 오한, 호흡곤란, 혈압저하 등), 드물게 재생불량성빈혈, 용혈성빈혈, 과립백혈구감소, 백혈구감소, 무과립증, 범혈구감소, 혈소판감소, 혈소판기능저하(출혈시간 연장), 호산구중가 등의 혈액장애, 소화불량, 복부팽만, 속쓰림, 상복부의 통증, 설사나 변비, 때때로 식욕부진, 구역, 구토, 복통, 위부불쾌감이나 드물게 식도염, 식도협착, 게실악화, 비특이성 출혈성 대장염, 궤양성 대장염 또는 크론병, 소화성궤양 위장출혈, 천공, 혈변, 위염, 췌장염, 매우 드물게 구갈, 구내염, 다형홍반, 전신성 홍반성 루푸스(SLE), 탈모, 때때로 혈관부종, 드물게 피부점막안증후군(스티븐스-존슨 증후군) 및 독성표피괴사용해(리엘증후군), 빈도불명의 호산구 증가 및 전신 증후군을 동반한 약물 발진(DRESS 증후군), 때때로 발진, 두드러기, 가려움, 자색반, 드물게 천식발작의 유발, 습진, 아나필락시스 반응, 광민감반응, 드물게 황달, ALT 상승, AST 상승, ALP 상승, 간기능 이상, 간염, 황달, 때때로 비염, 기관지경련, 급성 폐렴, 드물게 무시, 암침 등의 시각장애, 난청, 이명, 미각이상, 피로, 졸음, 두통, 어지러움, 때때로 불안, 안절부절, 착란, 우울증, 드물게 무균성 수막염, 심한 두통, 구역, 구토, 불면, 목이 뻣뻣함, 발열 또는 의식장애, 드물게 정신이상, 초조, 흥분, 방향감각장애, 가역성 독성약시, 드물게 혈압저하, 혈압상승, 심계항진, 핍뇨, 혈뇨, 요단백, BUN, 혈중 크레아티닌의 상승, 고칼륨혈증, 요량감소, 전신부종 및 이에 수반한 숨가쁨, 나른함, 드물게 신장유두괴사, 신증후군, 간질신장염, 말초부종, 급성 폐부종, 체액저류, 고혈압, 심부전, 여성의 생식능력 감소, 때때로 안와주위부종, 매우 드물게 권태감, 발열, 코피, 염증악화 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
K-024770,코스맥스파마(주),콜민콜드캡슐 200mg/PTP,"이 약은 감기의 여러 증상(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화에 사용합니다.
","만 15세 이상 및 성인은 1회 2캡슐씩, 1일 3회 식후 30분에 복용합니다.
","매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다.

매우 드물게 치명적일 수 있는 급성전신발진고름물집증, 스티븐스-존슨증후군, 독성표피괴사용해와 같은 중대한 피부반응이 보고되었고 이 약 복용 후 피부발진 또는 다른 과민반응의 징후가 나타나는 경우 즉시 복용을 중단하십시오.

아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.

급성전신발진고름물집증과 같은 중증 피부 이상반응이 나타나는 경우 복용을 중단하고 의사 또는 약사와 상의하십시오.
","이 약에 과민증 환자 및 경험자, 다른 해열진통제, 감기약 복용 시 천식 경험자, 만 3개월 미만의 영아, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람, 중증 또는 조절되지 않는 고혈압 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아 및 만 15세 미만의 어린이, 만 3개월 이상 및 만 2세 미만의 영아, 유아, 알레르기 체질, 알레르기 증상(예: 발열, 발진, 관절통, 천식, 가려움증 등)경험자, 간장, 신장(콩팥), 심장, 갑상선질환, 당뇨병, 고혈압, 위십이지장궤양, 녹내장(예: 눈의 통증, 눈이 침침함 등), 배뇨(소변을 눔)곤란 등이 있는 사람, 고령자, 몸이 약한 사람 또는 고열이 있는 사람, 속쓰림, 위부불쾌감, 위통과 같은 위장문제가 지속 혹은 재발되거나 궤양, 출혈문제를 가지고 있는 사람, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부, 흡연, 천식, 만성 기관지염, 폐기종, 과도한 가래가 동반되는 기침, 1주 이상 지속 또는 재발되는 기침, 만성 기침, 발열ㆍ발진이나 지속적인 두통이 동반되는 기침이 있는 사람은 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

장기간 계속하여 복용하지 마십시오.

복용 중에는 음주하지 마십시오.

복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.

5~6회 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","아세트아미노펜을 포함하는 다른 제품, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등), 진해(기침을 그치게 함)거담제(가래약), 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오. 

당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 바르비탈계 약물, 삼환계 항우울제 및 알코올을 투여한 환자는 의사 또는 약사와 상의하십시오.
","발진·발적(충혈되어 붉어짐), 가려움, 구역·구토, 식욕부진, 변비, 부종(부기), 배뇨(소변을 눔)곤란, 목마름(지속적이거나 심한), 어지러움, 불안, 떨림, 불면, 쇽 증상(복용후 바로 두드러기, 부종(부기), 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함), 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군: 고열을 동반하고, 발진·발적, 화상과 같이 물집이 생기는 등의 심한 증상), 천식, 전신의 나른함, 황달(피부 또는 눈의 흰자위가 황색을 띄게 됨), 기침을 동반하고, 숨이 차고, 호흡곤란, 발열, 허혈성 대장염의 증상(급격한 복통, 직장 출혈 등) 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
K-025476,(주)에이프로젠바이오로직스,우르스정 500mg/병,"이 약은 식욕부진(식욕감퇴), 복부팽만, 장내 이상발효, 치질에 사용합니다.","1회 1정을 성인(만 15세 이상)은 1일 3회, 만 11세 이상~만 15세 미만은 1일 2회를 식전, 식사때와 식사때 사이 또는 식후에 복용합니다.복용간격은 4시간 이상으로 합니다.다만 초회는 최소량을 복용하고 변의 모양과 상태를 보면서 조금씩 증량 또는 감량합니다.",,"급성 복부질환(맹장꼬리염, 장출혈, 궤양성 결장염 등), 장폐색(창자막힘) 환자, 만 7세 이하의 어린이는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 심한 복통, 구역, 구토, 임부 또는 임신하고 있을 가능성이 있는 여성, 신장장애, 직장의 출혈 혹은 장부전 경험자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.",제산제와 함께 복용하지 마십시오.우유 섭취 후 1시간 이내는 복용을 피하십시오.,"발진·충혈되어 붉어짐, 가려움, 심한 복통(배 아픔), 설사, 구토, 복부불쾌감, 경련 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
K-025268,오펠라헬스케어코리아(주),부스코판당의정(브롬화부틸스코폴라민),"이 약은 위ㆍ십이지장궤양, 식도경련, 유문연축, 위염, 장염, 장산통, 경련성 변비, 기능성 설사, 담낭염, 담관염, 담석증, 담도이상운동증, 담낭절제후의 후유증, 요로결석, 방광염, 월경곤란에 사용합니다.","성인은 1회 1~2정(10~20 mg) 1일 3~5회 복용합니다.연령, 증상에 따라 적절히 증감합니다.",,"이 약에 과민증 환자, 녹내장, 유문협착 등 위장관의 기능적 협착 환자, 마비성 또는 폐쇄성 장폐색, 중증 근무력증, 거대 결장, 부정 빈맥, 중증의 심질환, 출혈성 대장염, 전립성 비대에 의한 배뇨장애 환자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 세균성 설사, 울혈성 심부전, 부정맥, 궤양성 대장염, 갑상선 기능 항진증, 고온 환경에 있는 환자, 전립선 비대 환자, 고령자는 의사 또는 약사와 상의하십시오.이 약 복용 후 시조절장애, 어지러움이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.","페노티아진계 약물, 삼환계 또는 사환계 항우울약, MAO 저해제, 항히스타민제, 항정신병약, 퀴니딘, 아만타딘, 디소피라미드와 같은 항콜린성 약물 및 다른 항콜린제(티오트로피움, 이트라트로피움, 아트로핀-유사 화합물), 메토클로프라미드 등의 도파민 길항약, 베타 효능약과 함께 복용 시 의사 또는 약사와 상의하십시오.","쇽, 구역, 구토, 오한, 피부창백, 혈압 저하, 호흡곤란, 기관지 연축, 부종, 혈관부종, 두드러기, 발진, 홍반, 가려움증 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.산동, 모양근마비, 조절장애, 구강건조, 구갈, 구역, 구토, 변비, 배뇨장애, 뇨저류, 두통, 두중감, 가슴두근거림, 빈맥, 혈압저하, 어지러움, 안면홍조, 발한장애, 이상고열 등이 나타날 수 있습니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
K-026298,(주)휴비스트제약,다이제스칸정 175mg/병,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부(상복부)팽만감에 사용합니다.
","만 15세 이상 및 성인은 1회 2정씩, 1일 3회 식후에 복용합니다.
",,"만 7세 이하의 어린이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 알레르기 체질, 황색4호에 과민증 또는 알레르기 반응 경험자는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

2주 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
",,,"습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
K-026455,바이엘코리아(주),클라리틴정(로라타딘),"이 약은 알레르기성 비염(재채기, 코막힘, 가려움, 눈의 작열감), 만성 특발성(원인 불명의) 두드러기에 사용합니다.","성인 및 12세 이상의 소아는 1일 1회 1정(10 mg) 복용합니다.6~12세 미만의 소아는 체중이 30 kg이상인 경우 1일 1회 1정(10 mg), 30 kg이하인 경우 1일 1회 1/2정(5 mg) 복용합니다.연령, 증상에 따라 적절히 증감합니다.",,"이 약에 과민증 환자, 만 6세 미만의 소아, 임부 및 수유부,갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 간장애, 신부전 환자는 의사 또는 약사와 상의하십시오.","이 약을 복용하는 동안 시메티딘, 에리트로마이신, 케토코나졸, 퀴니딘, 플루코나졸, 플루옥세틴, 간 대사를 억제하는 약물을 함께 복용하지 마십시오.","진정작용, 항콜린작용, 두통, 실신, 졸음, 목마름, 위장장애(구역, 위염), 식욕증진, 빈맥, 피로, 발진, 탈모증, 혈관부종을 포함한 아나필락시스, 간기능 장애, 상실성 부정빈맥, 두근거림, 어지러움, 경련 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
K-025791,한솔신약(주),나노민연질캡슐 20mg/포,"이 약은 육체피로, 임신·수유기, 병중·병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 발육기, 노년기의 비타민 A, D, B1, B2, C의 보급과 눈의 건조감 완화, 야맹증(밤에 잘 못 보는 증상), 뼈, 이의 발육불량, 구루병의 예방, 각기, 눈의 피로, 신경통, 근육통, 관절통(요통, 어깨결림 등), 구순염(입술염), 구각염(입꼬리염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화에 사용합니다.
","만 8세 이상 어린이 및 성인은 1회 1캡슐씩, 1일 3회 복용합니다.
","비타민 A를 1일 5,000 IU 이상 복용 시 선천성 기형을 일으킬 수 있습니다. 임신 3개월 이내 또는 임신하고 있을 가능성이 있는 여성은 복용하지 마십시오.
","이 약 또는 대두유, 콩, 땅콩에 과민증 환자, 만 3개월 미만의 젖먹이, 고칼슘혈증(혈액중에 칼슘이 과잉으로 존재하는 상태)환자, 유육종증(원인을 알 수 없는 전신 염증질환), 신장질환, 신장결석 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 만 1세 미만의 젖먹이, 햇빛을 많이 보고 정상적인 식사를 하는 어린이, 고옥살산뇨증(뇨중에 과량의 수산염이 배설되는 상태), 임부 및 임신하고 있을 가능성이 있는 여성, 수유부, 미숙아, 유아, 통풍 또는 신장결석 환자 및 경험자, 고지단백혈증, 당뇨병성고지질혈증 및 췌장(이자)염 등 지방대사 이상 환자 또는 지질성 유제를 신중히 투여해야하는 환자, 황색5호에 과민증 환자 또는 경험자, 폴산이 부족한 환자, 지방과부하로 특별한 위험이 예상되는 환자는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.

각종 요검사 시에 혈당의 검출을 방해할 수 있으며, 요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.

1개월 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","정주용 지질제와 함께 복용 시 의사 또는 약사와 상의하십시오.
","구역, 구토, 가려움증, 건조하고 거친 피부, 통증성 관절부기, 설사, 묽은변, 식욕부진, 복부(배부분)팽만감 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
K-026632,오펠라헬스케어코리아(주),둘코락스에스장용정 5mg/PTP,"이 약은 변비와 변비에 수반하는 식욕부진(식욕감퇴), 복부팽만, 장내이상발효, 치질의 완화에 사용합니다.","만 15세 이상은 1회 2정, 만 11 이상~만 15세 미만은 1회 1~2정, 만 7세 이상~만 11세 미만은 1회 1정, 1일 1회 취침 시에 복용합니다.다만, 초회는 최소량을 복용하고 변의 모양과 상태를 보면서 조금씩 증량 또는 감량합니다.",,"이 약에 과민증 환자, 급성 복부질환(충수염, 장출혈, 궤양성 결장염 등), 장폐색(창자막힘), 구역, 구토를 동반하는 중증의 복부(배부분)통증, 수분 및 전해질 불균형 환자(심한 탈수 상태), 7세 이하의 어린이는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 직장의 출혈 혹은 장부전 경험자, 10세 이하의 소아, 나트륨 제한식이를 하고 있는 사람은 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.복용 시 정제를 씹지 말고 적절한 양의 물과 함께 복용합니다.","제산제, 우유 섭취 후 1시간 이내, 미네랄 오일을 함께 복용하지 마십시오.이뇨제나 부신피질호르몬제, 다른 완화제를 함께 복용 시 의사 또는 약사와 상의하십시오.","발진ㆍ충혈되어 붉어짐, 가려움, 심한 복통(배 아픔), 설사, 구토, 복부(배부분)불쾌감, 경련, 아나필락시스 반응, 혈관 부종, 과민반응, 탈수, 복부(배부분) 경련, 오심, 혈변, 직장과 항문의 불쾌감, 대장염(허혈성 대장염 포함), 어지러움, 실신이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
K-027838,동국제약(주),판시딜캡슐 100mg/PTP,"이 약은 손상된 모발, 감염성이 아닌 손톱의 발육 부진, 탈모의 보조치료에 사용합니다.","성인은 1회 1캡슐을 1일 3회, 12세 이상 소아는 식후 1회 1캡슐을 1일 1~2회 식후에 복용합니다.평균치료기간은 3~6개월입니다.",,"이 약에 과민증 환자, 12세 미만 소아, 흉터로 인한 탈모, 안드로젠 유전성 탈모증, 남성형 대머리에는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.",설폰아미드 제제와 함께 사용 시 의사 또는 약사와 상의하십시오.,"위장관 불쾌감(위통, 구토), 발한, 빈맥, 가려움, 두드러기, 두통, 어지럼, 홍조, 두부이외의 신체부위에서 발모현상이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 25℃ 이하에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
K-029603,(주)종근당,모드콜에스연질캡슐 200mg/PTP,"이 약은 감기의 여러 증상(콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화에 사용합니다.
","만 15세 이상 및 성인은 1회 2캡슐씩, 만 8세 이상~만 15세 미만은 1회 1캡슐씩, 1일 3회 식후 30분에 복용합니다.
","매일 세 잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다.

급성전신발진고름물집증과 같은 중증 피부 이상반응이 나타나는 경우 복용을 중단하고 의사 또는 약사와 상의하십시오.

매우 드물게 치명적일 수 있는 급성전신발진고름물집증, 스티븐스-존슨증후군, 독성표피괴사용해와 같은 중대한 피부반응이 보고되었고 이 약 복용 후 피부발진 또는 다른 과민반응의 징후가 나타나는 경우 즉시 복용을 중단하십시오.

아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.
","이 약에 과민증 환자 또는 경험자, 다른 해열진통제, 감기약 복용 시 천식 경험자, 만 3개월 미만의 영아, 중증 또는 조절되지 않는 고혈압 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 만 2세 미만의 소아, 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아 및 만 15세 미만의 어린이, 슈도에페드린 성분과 관련하여 허혈성 대장염의 증상(급격한 복통, 직장 출혈 등)이 발현될 경우, 알레르기 체질, 약에 의한 알레르기 증상(예: 발열, 발진, 관절통, 천식, 가려움증 등)경험자, 간장질환, 신장(콩팥)질환, 심장질환, 갑상선질환, 당뇨병, 고혈압, 위십이지장궤양, 녹내장(예: 눈의 통증, 눈이 침침함 등), 배뇨곤란 등이 있는 사람, 고령자, 몸이 약한 사람 또는 고열이 있는 사람, 속쓰림, 위부불쾌감, 위통과 같은 위장문제가 지속 혹은 재발되거나 궤양, 출혈문제를 가지고 있는 사람, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부, 흡연, 천식, 만성 기관지염, 폐기종, 과도한 가래가 동반되는 기침, 1주 이상 지속 또는 재발되는 기침, 만성 기침, 발열ㆍ발진이나 지속적인 두통이 동반되는 기침이 있는 사람은 의사 또는 약사와 상의하십시오.

5~6회 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.

복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.
","진해거담제, 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오.

MAO 억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오.

바르비탈계 약물, 삼환계 항우울제 및 알코올, 당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제 등과 함께 복용 시 의사 또는 약사와 상의하십시오.

복용 중에는 음주하지 마십시오.
","발진·발적(충혈되어 붉어짐), 가려움, 구역·구토, 식욕부진, 변비, 부기, 배뇨곤란, 목마름(지속적이거나 심한), 어지러움, 불안, 떨림, 불면, 드물게 쇽 증상(복용후 바로 두드러기, 부종(부기), 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함), 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군: 고열을 동반하고, 발진·발적, 화상과 같이 물집이 생기는 등의 심한 증상), 천식, 전신의 나른함, 황달, 기침, 숨이 참, 호흡곤란, 발열 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

가역적 후뇌 병증 증후군 및 가역적 뇌혈관 수축 증후군의 증상(갑작스러운 심한 두통, 번개 두통, 구역, 구토, 혼돈, 발작, 시각 장애 등)이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
